Decade,Song,Artist,Weeks at Number One,Date,Song of the Year
2000,Fake It,Seether,14,2007-11-17,False
2000,Psycho,Puddle of Mudd,9,2008-02-23,True
2000,It's Not My Time,3 Doors Down,3,2008-04-26,False
2000,Inside the Fire,Disturbed,14,2008-05-17,False
2000,Devour,Shinedown,3,2008-08-23,False
2000,Bad Girlfriend,Theory of a Deadman,1,2008-09-13,False
2000,The Day That Never Comes,Metallica,2,2008-09-20,False
2000,Bad Girlfriend,Theory of a Deadman,1,2008-10-04,False
2000,The Day That Never Comes,Metallica,7,2008-10-11,False
2000,Rock 'N Roll Train,AC/DC,3,2008-11-29,False
2000,I Don't Care,Apocalyptica ,1,2008-12-20,False
2000,Second Chance ,Shinedown,10,2008-12-27,True
2000,Something in Your Mouth,Nickelback,4,2009-03-07,False
2000,Cyanide,Metallica,2,2009-04-04,False
2000,Lifeline,Papa Roach,6,2009-04-18,False
2000,Know Your Enemy,Green Day,3,2009-05-30,False
2000,Sound of Madness,Shinedown,3,2009-06-20,False
2000,New Divide,Linkin Park,8,2009-07-11,False
2000,Champagne,Cavo,1,2009-09-05,False
2000,Whiskey Hangover,Godsmack,3,2009-09-12,False
2000,Check My Brain,Alice in Chains,8,2009-10-03,False
2000,I Will Not Bow,Breaking Benjamin,2,2009-11-28,False
2000,Break ,Three Days Grace,3,2009-12-12,True
2010,Break,Three Days Grace,8,2010-01-02,True
2010,Your Decision,Alice in Chains,8,2010-02-27,False
2010,Cryin' Like a Bitch,Godsmack,5,2010-04-24,False
2010,The Good Life,Three Days Grace,5,2010-05-29,False
2010,Let Me Hear You Scream,Ozzy Osbourne,4,2010-07-03,False
2010,The Crow & the Butterfly,Shinedown,1,2010-07-31,False
2010,Another Way to Die,Disturbed,8,2010-08-07,False
2010,Say You'll Haunt Me,Stone Sour,8,2010-10-02,False
2010,Porn Star Dancing,My Darkest Days ,2,2010-11-27,False
2010,World So Cold,Three Days Grace,5,2010-12-11,False
2010,The Sex Is Good,Saving Abel,1,2011-01-15,False
2010,Isolation,Alter Bridge,7,2011-01-22,False
2010,Diamond Eyes ,Shinedown,3,2011-03-12,False
2010,Rope,Foo Fighters,5,2011-04-02,False
2010,Country Song,Seether,10,2011-05-07,True
2010,Lies of the Beautiful People,Sixx:A.M.,2,2011-07-16,False
2010,So Far Away,Avenged Sevenfold,3,2011-07-30,False
2010,Lowlife,Theory of a Deadman,3,2011-08-20,False
2010,Walk,Foo Fighters,4,2011-09-10,False
2010,Not Again,Staind,4,2011-10-08,False
2010,Tonight,Seether,1,2011-11-05,False
2010,Not Again,Staind,3,2011-11-12,False
2010,Face to the Floor,Chevelle,12,2011-12-03,False
2010,Bully,Shinedown,12,2012-02-25,True
2010,Live to Rise,Soundgarden,6,2012-05-19,False
2010,Burn It Down,Linkin Park,1,2012-06-30,False
2010,You're a Lie,Slash,2,2012-07-07,False
2010,Still Counting,Volbeat,2,2012-07-21,False
2010,Unity,Shinedown,4,2012-08-04,False
2010,Coming Down,Five Finger Death Punch,1,2012-09-01,False
2010,Criticize,Adelitas Way,1,2012-09-08,False
2010,Coming Down,Five Finger Death Punch,1,2012-09-15,False
2010,Chalk Outline,Three Days Grace,13,2012-09-22,False
2010,Been Away Too Long,Soundgarden,7,2012-12-22,False
2010,Heaven nor Hell,Volbeat,1,2013-02-09,False
2010,Stand Up,All That Remains,2,2013-02-16,False
2010,Hollow,Alice in Chains,3,2013-03-02,False
2010,Bones,Young Guns,1,2013-03-23,False
2010,Hollow,Alice in Chains,2,2013-03-30,False
2010,Freak Like Me,Halestorm,2,2013-04-13,False
2010,The High Road,Three Days Grace,1,2013-04-27,False
2010,By Crooked Steps,Soundgarden,2,2013-05-04,False
2010,Vilify,Device,2,2013-05-18,False
2010,The Hangman's Body Count,Volbeat,3,2013-06-01,False
2010,Stone,Alice in Chains,3,2013-06-22,False
2010,Trenches,Pop Evil,4,2013-07-13,True
2010,Lift Me Up,Five Finger Death Punch,1,2013-08-10,False
2010,Out of Time,Stone Temple Pilots with Chester Bennington,1,2013-08-17,False
2010,Hail to the King,Avenged Sevenfold,10,2013-08-24,False
2010,Misery Loves My Company,Three Days Grace,1,2013-11-02,False
2010,Hail to the King,Avenged Sevenfold,1,2013-11-09,False
2010,Never Never,Korn,3,2013-11-16,False
2010,Lola Montez,Volbeat,1,2013-12-07,False
2010,Battle Born,Five Finger Death Punch,2,2013-12-14,False
2010,Deal with the Devil,Pop Evil,1,2013-12-28,False
2010,Battle Born,Five Finger Death Punch,3,2014-01-04,False
2010,Tired,Stone Sour,1,2014-01-25,False
2010,Shepherd of Fire,Avenged Sevenfold,7,2014-02-01,False
2010,Heaven Knows,The Pretty Reckless,5,2014-03-22,True
2010,Take Out the Gunman,Chevelle,3,2014-04-26,False
2010,Guilty All the Same,Linkin Park ,3,2014-05-17,False
2010,Torn to Pieces,Pop Evil,2,2014-06-07,False
2010,Painkiller,Three Days Grace,4,2014-06-21,False
2010,Words as Weapons,Seether,5,2014-07-19,False
2010,1000hp,Godsmack,3,2014-08-23,False
2010,Messed Up World ,The Pretty Reckless,1,2014-09-13,False
2010,Until It's Gone,Linkin Park,1,2014-09-20,False
2010,Messed Up World ,The Pretty Reckless,3,2014-09-27,False
2010,World on Fire,Slash,1,2014-10-18,False
2010,Edge of a Revolution,Nickelback,2,2014-10-25,False
2010,Something from Nothing,Foo Fighters,13,2014-11-08,False
2010,I Am Machine,Three Days Grace,6,2015-02-07,False
2010,Face Everything and Rise,Papa Roach,1,2015-03-21,False
2010,Apocalyptic,Halestorm,1,2015-03-28,False
