Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date,Scraped Band
Here And Now,Seether,07.07.12,5,12 Wks,10.13.12,Seether
Dangerous,Seether,07.04.20,1,3 WKS,10.10.20,Seether
Save Today,Seether,10.10.15,4,12 Wks,01.23.16,Seether
Let You Down,Seether,03.11.17,1,4 WKS,05.27.17,Seether
Nobody Praying For Me,Seether,05.16.15,6,12 Wks,07.04.15,Seether
Wasteland,Seether,07.31.21,1,1 WKS,10.30.21,Seether
Against The Wall,Seether,07.07.18,19,12 Wks,08.25.18,Seether
Seether,Seether,09.28.13,12,12 Wks,11.02.13,Seether
"What's The Frequency, Kenneth?",R.E.M.,09.24.94,2,12 Wks,10.08.94,R.E.M.
Drive,R.E.M.,10.03.92,2,12 Wks,11.07.92,R.E.M.
Stand,R.E.M.,12.03.88,1,1 WKS,02.11.89,R.E.M.
Bang And Blame,R.E.M.,12.03.94,3,12 Wks,01.21.95,R.E.M.
Bittersweet Me,R.E.M.,10.12.96,7,12 Wks,11.16.96,R.E.M.
Losing My Religion,R.E.M.,03.09.91,1,3 WKS,04.13.91,R.E.M.
Man On The Moon,R.E.M.,01.30.93,4,12 Wks,03.13.93,R.E.M.
The One I Love,R.E.M.,09.05.87,2,12 Wks,10.03.87,R.E.M.
Ignoreland,R.E.M.,11.28.92,4,12 Wks,01.23.93,R.E.M.
Texarkana,R.E.M.,05.18.91,7,12 Wks,06.15.91,R.E.M.
Strange Currencies,R.E.M.,05.20.95,8,12 Wks,07.01.95,R.E.M.
Orange Crush,R.E.M.,11.12.88,1,2 WKS,11.26.88,R.E.M.
Fall On Me,R.E.M.,08.09.86,5,12 Wks,09.06.86,R.E.M.
Turn You Inside-Out,R.E.M.,03.11.89,7,12 Wks,04.22.89,R.E.M.
South Central Rain (I'm Sorry),R.E.M.,05.26.84,43,12 Wks,07.07.84,R.E.M.
Finest Worksong,R.E.M.,02.06.88,28,12 Wks,03.26.88,R.E.M.
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,11.21.87,16,12 Wks,12.19.87,R.E.M.
Can't Get There From Here,R.E.M.,07.06.85,14,12 Wks,07.27.85,R.E.M.
Driver 8,R.E.M.,09.07.85,22,12 Wks,10.12.85,R.E.M.
Shiny Happy People,R.E.M.,07.13.91,8,12 Wks,08.31.91,R.E.M.
Star 69,R.E.M.,03.11.95,15,12 Wks,04.22.95,R.E.M.
Superman,R.E.M.,11.01.86,17,12 Wks,11.22.86,R.E.M.
Pop Song 89,R.E.M.,05.06.89,14,12 Wks,06.17.89,R.E.M.
Crush With Eyeliner,R.E.M.,08.12.95,20,12 Wks,09.16.95,R.E.M.
Lotus,R.E.M.,02.06.99,31,12 Wks,02.27.99,R.E.M.
The Great Beyond,R.E.M.,12.25.99,33,12 Wks,01.29.00,R.E.M.
Daysleeper,R.E.M.,10.24.98,30,12 Wks,11.14.98,R.E.M.
E-Bow The Letter,R.E.M.,08.31.96,15,12 Wks,09.14.96,R.E.M.
Radio Song,R.E.M.,10.12.91,43,12 Wks,10.19.91,R.E.M.
The Sidewinder Sleeps Tonite,R.E.M.,05.08.93,28,12 Wks,05.29.93,R.E.M.
The Wake-Up Bomb,R.E.M.,01.25.97,30,12 Wks,02.08.97,R.E.M.
Ages Of You,R.E.M.,05.09.87,39,12 Wks,05.23.87,R.E.M.
Radio Free Europe,R.E.M.,05.21.83,25,12 Wks,05.21.83,R.E.M.
Supernatural Superserious,R.E.M.,03.22.08,36,12 Wks,04.05.08,R.E.M.
Pretty Persuasion,R.E.M.,09.08.84,44,12 Wks,09.08.84,R.E.M.
"Run, Runaway",Slade,03.31.84,1,2 WKS,05.19.84,Slade
"My, Oh My",Slade,02.25.84,32,12 Wks,03.10.84,Slade
Little Sheila,Slade,04.20.85,13,12 Wks,05.11.85,Slade
Broken Wings,Mr. Mister,08.24.85,4,12 Wks,10.26.85,Mr.-Mister
Kyrie,Mr. Mister,12.14.85,1,1 WKS,02.01.86,Mr.-Mister
Is It Love,Mr. Mister,03.22.86,17,12 Wks,04.26.86,Mr.-Mister
"Something Real (Inside Me, Inside You)",Mr. Mister,08.22.87,27,12 Wks,09.19.87,Mr.-Mister
Hunters Of The Night,Mr. Mister,04.07.84,36,12 Wks,04.21.84,Mr.-Mister
Top Of The World,Van Halen,07.06.91,1,4 WKS,10.26.91,Van-Halen
Right Now,Van Halen,06.29.91,2,12 Wks,01.11.92,Van-Halen
PANAMA,Van Halen,01.21.84,2,12 Wks,03.03.84,Van-Halen
Me Wise Magic,Van Halen,10.19.96,1,6 WKS,10.26.96,Van-Halen
Can't Stop Lovin' You,Van Halen,02.18.95,2,12 Wks,04.15.95,Van-Halen
Love Walks In,Van Halen,04.19.86,4,12 Wks,08.09.86,Van-Halen
Finish What Ya Started,Van Halen,06.18.88,2,12 Wks,08.20.88,Van-Halen
I'LL WAIT,Van Halen,02.04.84,2,12 Wks,04.28.84,Van-Halen
Runaround,Van Halen,06.29.91,1,4 WKS,08.10.91,Van-Halen
Don't Tell Me (What Love Can Do),Van Halen,01.14.95,1,3 WKS,01.21.95,Van-Halen
Humans Being,Van Halen,05.04.96,1,2 WKS,05.25.96,Van-Halen
Dreams,Van Halen,04.05.86,6,12 Wks,06.28.86,Van-Halen
The Dream Is Over,Van Halen,02.22.92,7,12 Wks,04.11.92,Van-Halen
Feels So Good,Van Halen,06.04.88,6,12 Wks,10.22.88,Van-Halen
When It's Love,Van Halen,06.04.88,1,1 WKS,07.23.88,Van-Halen
DANCING IN THE STREET,Van Halen,05.08.82,3,12 Wks,05.29.82,Van-Halen
(Oh) Pretty Woman,Van Halen,02.06.82,1,2 WKS,03.13.82,Van-Halen
She's The Woman,Van Halen,03.03.12,23,12 Wks,03.24.12,Van-Halen
Best Of Both Worlds,Van Halen,04.05.86,12,12 Wks,05.24.86,Van-Halen
Can't Get This Stuff No More,Van Halen,11.02.96,12,12 Wks,01.25.97,Van-Halen
Fire In The Hole,Van Halen,05.02.98,6,12 Wks,05.23.98,Van-Halen
Hot For Teacher,Van Halen,01.28.84,24,12 Wks,02.11.84,Van-Halen
Mean Street,Van Halen,05.23.81,12,12 Wks,06.27.81,Van-Halen
Why Can't This Be Love,Van Halen,03.15.86,1,3 WKS,04.05.86,Van-Halen
JUMP,Van Halen,01.14.84,1,8 WKS,01.21.84,Van-Halen
Without You,Van Halen,03.07.98,1,6 WKS,03.07.98,Van-Halen
WHERE HAVE ALL THE GOOD TIMES GONE,Van Halen,05.08.82,17,12 Wks,05.08.82,Van-Halen
Amsterdam,Van Halen,05.20.95,9,12 Wks,06.24.95,Van-Halen
Poundcake,Van Halen,06.08.91,1,2 WKS,06.15.91,Van-Halen
It's About Time,Van Halen,06.12.04,6,12 Wks,06.26.04,Van-Halen
So This Is Love?,Van Halen,05.30.81,15,12 Wks,06.13.81,Van-Halen
Unchained,Van Halen,06.06.81,13,12 Wks,06.20.81,Van-Halen
Little Guitars,Van Halen,05.08.82,33,12 Wks,07.24.82,Van-Halen
Black And Blue,Van Halen,05.14.88,1,3 WKS,06.04.88,Van-Halen
Summer Nights,Van Halen,07.26.86,33,12 Wks,08.16.86,Van-Halen
Won't Get Fooled Again,Van Halen,02.13.93,1,1 WKS,02.20.93,Van-Halen
Not Enough,Van Halen,08.05.95,27,12 Wks,08.12.95,Van-Halen
Man On A Mission,Van Halen,05.30.92,21,12 Wks,06.20.92,Van-Halen
Tattoo,Van Halen,01.28.12,13,12 Wks,02.04.12,Van-Halen
Cabo Wabo,Van Halen,12.10.88,31,12 Wks,12.24.88,Van-Halen
SECRETS,Van Halen,06.12.82,22,12 Wks,06.12.82,Van-Halen
One I Want,Van Halen,08.15.98,27,12 Wks,08.29.98,Van-Halen
Up For Breakfast,Van Halen,08.28.04,33,12 Wks,09.04.04,Van-Halen
Push Comes To Shove,Van Halen,06.13.81,29,12 Wks,06.27.81,Van-Halen
The Seventh Seal,Van Halen,02.04.95,36,12 Wks,02.25.95,Van-Halen
Mine All Mine,Van Halen,06.04.88,50,12 Wks,06.04.88,Van-Halen
The Full Bug,Van Halen,06.12.82,42,12 Wks,06.12.82,Van-Halen
It's Been Awhile,Staind,04.07.01,1,20 WKS,04.28.01,Staind
So Far Away,Staind,06.28.03,1,14 WKS,08.16.03,Staind
For You,Staind,12.22.01,3,12 Wks,04.20.02,Staind
Not Again,Staind,07.30.11,1,7 WKS,10.08.11,Staind
Right Here,Staind,05.28.05,1,2 WKS,09.17.05,Staind
Mudshovel,Staind,08.07.99,10,12 Wks,11.13.99,Staind
Home,Staind,02.12.00,11,12 Wks,05.27.00,Staind
Outside,Staind,05.19.01,11,12 Wks,07.07.01,Staind
Fade,Staind,08.25.01,3,12 Wks,11.24.01,Staind
Eyes Wide Open,Staind,12.10.11,5,12 Wks,04.14.12,Staind
Here And Now,Staind,09.30.23,2,12 Wks,12.09.23,Staind
Believe,Staind,07.12.08,4,12 Wks,09.20.08,Staind
How About You,Staind,11.22.03,10,12 Wks,02.21.04,Staind
Falling,Staind,10.22.05,7,12 Wks,02.04.06,Staind
Now,Staind,05.19.12,10,12 Wks,08.18.12,Staind
Lowest In Me,Staind,04.29.23,1,2 WKS,08.05.23,Staind
All I Want,Staind,12.20.08,20,12 Wks,03.14.09,Staind
Price To Play,Staind,04.19.03,2,12 Wks,06.07.03,Staind
Everything Changes,Staind,03.11.06,22,12 Wks,04.08.06,Staind
Just Go,Staind,04.03.99,24,12 Wks,06.05.99,Staind
Epiphany,Staind,05.11.02,22,12 Wks,06.29.02,Staind
This Is It,Staind,06.06.09,27,12 Wks,07.04.09,Staind
King Of All Excuses,Staind,07.15.06,27,12 Wks,09.02.06,Staind
Something To Remind You,Staind,12.08.12,34,12 Wks,01.12.13,Staind
Ready Or Not,Lou Gramm,02.28.87,7,12 Wks,05.02.87,Lou-Gramm
Just Between You And Me,Lou Gramm,10.28.89,4,12 Wks,11.25.89,Lou-Gramm
Midnight Blue,Lou Gramm,01.31.87,1,5 WKS,02.14.87,Lou-Gramm
True Blue Love,Lou Gramm,02.10.90,23,12 Wks,03.10.90,Lou-Gramm
Angel With A Dirty Face,Lou Gramm,05.19.90,42,12 Wks,06.02.90,Lou-Gramm
Heartache,Lou Gramm,06.13.87,47,12 Wks,06.13.87,Lou-Gramm
Heavy,Collective Soul,01.23.99,1,15 WKS,02.20.99,Collective-Soul
Why Pt.2,Collective Soul,09.30.00,2,12 Wks,10.21.00,Collective-Soul
Shine,Collective Soul,03.26.94,1,8 WKS,05.21.94,Collective-Soul
Gel,Collective Soul,01.28.95,2,12 Wks,03.18.95,Collective-Soul
December,Collective Soul,04.22.95,1,9 WKS,06.03.95,Collective-Soul
The World I Know,Collective Soul,11.11.95,1,4 WKS,02.03.96,Collective-Soul
Where The River Flows,Collective Soul,03.23.96,1,2 WKS,05.11.96,Collective-Soul
Precious Declaration,Collective Soul,02.15.97,1,4 WKS,04.12.97,Collective-Soul
Listen,Collective Soul,05.24.97,1,5 WKS,08.02.97,Collective-Soul
Counting The Days,Collective Soul,10.09.04,8,12 Wks,12.11.04,Collective-Soul
"No More, No Less",Collective Soul,06.19.99,10,12 Wks,08.14.99,Collective-Soul
Smashing Young Man,Collective Soul,08.19.95,8,12 Wks,10.14.95,Collective-Soul
Breathe,Collective Soul,08.06.94,12,12 Wks,10.08.94,Collective-Soul
She Said,Collective Soul,01.03.98,16,12 Wks,02.14.98,Collective-Soul
Right As Rain,Collective Soul,06.29.19,32,12 Wks,08.03.19,Collective-Soul
Blame,Collective Soul,09.27.97,11,12 Wks,10.25.97,Collective-Soul
Better Now,Collective Soul,02.26.05,35,12 Wks,03.05.05,Collective-Soul
Tremble For My Beloved,Collective Soul,10.09.99,35,12 Wks,10.23.99,Collective-Soul
Vent,Collective Soul,02.10.01,34,12 Wks,02.24.01,Collective-Soul
Next Homecoming,Collective Soul,11.03.01,39,12 Wks,11.10.01,Collective-Soul
Fall To Pieces,Velvet Revolver,08.07.04,1,11 WKS,10.02.04,Velvet-Revolver
Slither,Velvet Revolver,04.24.04,1,9 WKS,06.19.04,Velvet-Revolver
Dirty Little Thing,Velvet Revolver,12.25.04,8,12 Wks,03.12.05,Velvet-Revolver
She Builds Quick Machines,Velvet Revolver,06.02.07,2,12 Wks,08.11.07,Velvet-Revolver
The Last Fight,Velvet Revolver,09.08.07,16,12 Wks,10.13.07,Velvet-Revolver
Set Me Free,Velvet Revolver,07.05.03,17,12 Wks,08.09.03,Velvet-Revolver
"Come On, Come In",Velvet Revolver,07.09.05,14,12 Wks,08.13.05,Velvet-Revolver
Get Out The Door,Velvet Revolver,02.16.08,34,12 Wks,03.08.08,Velvet-Revolver
Nightmare,Avenged Sevenfold,06.05.10,2,12 Wks,09.11.10,Avenged-Sevenfold
Bat Country,Avenged Sevenfold,09.03.05,2,12 Wks,02.18.06,Avenged-Sevenfold
Scream,Avenged Sevenfold,10.04.08,9,12 Wks,03.14.09,Avenged-Sevenfold
Welcome To The Family,Avenged Sevenfold,11.06.10,2,12 Wks,02.19.11,Avenged-Sevenfold
Shepherd Of Fire,Avenged Sevenfold,11.16.13,1,7 WKS,02.01.14,Avenged-Sevenfold
Buried Alive,Avenged Sevenfold,10.08.11,2,12 Wks,12.24.11,Avenged-Sevenfold
Almost Easy,Avenged Sevenfold,10.06.07,3,12 Wks,01.05.08,Avenged-Sevenfold
Hail To The King,Avenged Sevenfold,08.03.13,1,11 WKS,08.24.13,Avenged-Sevenfold
So Far Away,Avenged Sevenfold,04.23.11,1,3 WKS,07.30.11,Avenged-Sevenfold
Afterlife,Avenged Sevenfold,03.22.08,11,12 Wks,06.28.08,Avenged-Sevenfold
Carry On,Avenged Sevenfold,10.13.12,2,12 Wks,02.09.13,Avenged-Sevenfold
Nobody,Avenged Sevenfold,03.25.23,2,12 Wks,08.19.23,Avenged-Sevenfold
Mattel,Avenged Sevenfold,09.30.23,17,12 Wks,12.30.23,Avenged-Sevenfold
Mad Hatter,Avenged Sevenfold,09.29.18,9,12 Wks,12.08.18,Avenged-Sevenfold
This Means War,Avenged Sevenfold,04.26.14,4,12 Wks,06.21.14,Avenged-Sevenfold
The Stage,Avenged Sevenfold,10.29.16,4,12 Wks,12.24.16,Avenged-Sevenfold
God Damn,Avenged Sevenfold,03.25.17,9,12 Wks,05.20.17,Avenged-Sevenfold
Seize The Day,Avenged Sevenfold,07.22.06,17,12 Wks,10.21.06,Avenged-Sevenfold
Beast And The Harlot,Avenged Sevenfold,03.11.06,19,12 Wks,05.27.06,Avenged-Sevenfold
Wish You Were Here,Avenged Sevenfold,11.04.17,16,12 Wks,12.30.17,Avenged-Sevenfold
Interstate Love Song,Stone Temple Pilots,08.20.94,1,15 WKS,09.17.94,Stone-Temple-Pilots
Plush,Stone Temple Pilots,03.20.93,1,1 WKS,06.26.93,Stone-Temple-Pilots
Creep,Stone Temple Pilots,11.13.93,2,12 Wks,02.19.94,Stone-Temple-Pilots
Big Empty,Stone Temple Pilots,04.23.94,3,12 Wks,06.04.94,Stone-Temple-Pilots
Vasoline,Stone Temple Pilots,06.11.94,1,2 WKS,09.03.94,Stone-Temple-Pilots
Lady Picture Show,Stone Temple Pilots,10.26.96,1,1 WKS,01.18.97,Stone-Temple-Pilots
Trippin' On A Hole In A Paper Heart,Stone Temple Pilots,05.11.96,1,4 WKS,07.27.96,Stone-Temple-Pilots
Sour Girl,Stone Temple Pilots,04.22.00,4,12 Wks,07.01.00,Stone-Temple-Pilots
Down,Stone Temple Pilots,10.02.99,5,12 Wks,10.23.99,Stone-Temple-Pilots
Wicked Garden,Stone Temple Pilots,07.31.93,11,12 Wks,10.02.93,Stone-Temple-Pilots
Out Of Time,Stone Temple Pilots With Chester Bennington,06.08.13,1,1 WKS,08.17.13,Stone-Temple-Pilots
Meadow,Stone Temple Pilots,12.02.17,6,12 Wks,02.10.18,Stone-Temple-Pilots
Black Heart,Stone Temple Pilots With Chester Bennington,10.12.13,13,12 Wks,12.28.13,Stone-Temple-Pilots
Between The Lines,Stone Temple Pilots,04.03.10,2,12 Wks,05.01.10,Stone-Temple-Pilots
Roll Me Under,Stone Temple Pilots,04.14.18,16,12 Wks,06.09.18,Stone-Temple-Pilots
Dancing Days,Stone Temple Pilots,03.25.95,3,12 Wks,04.29.95,Stone-Temple-Pilots
Big Bang Baby,Stone Temple Pilots,03.23.96,1,1 WKS,05.04.96,Stone-Temple-Pilots
Unglued,Stone Temple Pilots,12.24.94,8,12 Wks,02.11.95,Stone-Temple-Pilots
All In The Suit That You Wear,Stone Temple Pilots,11.01.03,5,12 Wks,11.22.03,Stone-Temple-Pilots
Tumble In The Rough,Stone Temple Pilots,02.15.97,9,12 Wks,04.19.97,Stone-Temple-Pilots
Take A Load Off,Stone Temple Pilots,07.10.10,23,12 Wks,08.28.10,Stone-Temple-Pilots
Days Of The Week,Stone Temple Pilots,06.16.01,4,12 Wks,07.28.01,Stone-Temple-Pilots
Heaven & Hot Rods,Stone Temple Pilots,01.01.00,17,12 Wks,02.12.00,Stone-Temple-Pilots
Pretty Penny,Stone Temple Pilots,03.18.95,12,12 Wks,04.22.95,Stone-Temple-Pilots
No Way Out,Stone Temple Pilots,10.21.00,17,12 Wks,11.18.00,Stone-Temple-Pilots
Hollywood Bitch,Stone Temple Pilots,09.01.01,25,12 Wks,10.06.01,Stone-Temple-Pilots
Sex Type Thing,Stone Temple Pilots,01.02.93,23,12 Wks,01.23.93,Stone-Temple-Pilots
Fare Thee Well,Stone Temple Pilots,12.28.19,34,12 Wks,02.08.20,Stone-Temple-Pilots
Revolution,Stone Temple Pilots,11.17.01,30,12 Wks,12.01.01,Stone-Temple-Pilots
Break On Through,Stone Temple Pilots,12.23.00,35,12 Wks,12.30.00,Stone-Temple-Pilots
Higher,Creed,09.11.99,1,17 WKS,09.25.99,Creed
My Own Prison,Creed,08.30.97,2,12 Wks,11.08.97,Creed
What's This Life For,Creed,06.20.98,1,6 WKS,09.19.98,Creed
One,Creed,12.19.98,2,12 Wks,03.13.99,Creed
With Arms Wide Open,Creed,04.22.00,1,4 WKS,07.08.00,Creed
Torn,Creed,02.21.98,3,12 Wks,06.06.98,Creed
My Sacrifice,Creed,10.27.01,1,9 WKS,12.15.01,Creed
Are You Ready?,Creed,09.09.00,4,12 Wks,11.11.00,Creed
Weathered,Creed,11.23.02,7,12 Wks,02.01.03,Creed
One Last Breath,Creed,04.27.02,5,12 Wks,06.22.02,Creed
What If,Creed,01.08.00,3,12 Wks,02.19.00,Creed
Overcome,Creed,09.05.09,4,12 Wks,10.17.09,Creed
A Thousand Faces,Creed,02.13.10,23,12 Wks,04.10.10,Creed
Riders On The Storm,Creed,12.16.00,28,12 Wks,01.13.01,Creed
Bullets,Creed,02.02.02,11,12 Wks,03.02.02,Creed
It's Money That Matters,Randy Newman,10.01.88,1,2 WKS,11.12.88,Randy-Newman
Psycho,Puddle Of Mudd,10.20.07,1,9 WKS,02.23.08,Puddle-of-Mudd
Blurry,Puddle Of Mudd,11.03.01,1,10 WKS,02.16.02,Puddle-of-Mudd
Control,Puddle Of Mudd,07.07.01,3,12 Wks,09.29.01,Puddle-of-Mudd
Drift & Die,Puddle Of Mudd,04.20.02,1,6 WKS,06.29.02,Puddle-of-Mudd
She Hates Me,Puddle Of Mudd,08.10.02,1,1 WKS,10.26.02,Puddle-of-Mudd
Away From Me,Puddle Of Mudd,10.25.03,1,3 WKS,12.13.03,Puddle-of-Mudd
Famous,Puddle Of Mudd,06.02.07,2,12 Wks,08.25.07,Puddle-of-Mudd
Uh Oh,Puddle Of Mudd,08.03.19,9,12 Wks,11.30.19,Puddle-of-Mudd
Spaceship,Puddle Of Mudd,11.07.09,6,12 Wks,01.02.10,Puddle-of-Mudd
Stoned,Puddle Of Mudd,03.27.10,6,12 Wks,06.05.10,Puddle-of-Mudd
Heel Over Head,Puddle Of Mudd,02.21.04,6,12 Wks,05.08.04,Puddle-of-Mudd
Livin' On Borrowed Time,Puddle Of Mudd,08.30.08,15,12 Wks,11.08.08,Puddle-of-Mudd
Spin You Around,Puddle Of Mudd,06.19.04,16,12 Wks,07.31.04,Puddle-of-Mudd
Gimme Shelter,Puddle Of Mudd,08.13.11,26,12 Wks,09.03.11,Puddle-of-Mudd
We Don't Have To Look Back Now,Puddle Of Mudd,06.07.08,31,12 Wks,07.05.08,Puddle-of-Mudd
Start Me Up,The Rolling Stones,08.22.81,1,13 WKS,09.05.81,The-Rolling-Stones
SHE WAS HOT,The Rolling Stones,11.19.83,4,12 Wks,02.04.84,The-Rolling-Stones
You Got Me Rocking,The Rolling Stones,07.23.94,2,12 Wks,10.01.94,The-Rolling-Stones
Rock And A Hard Place,The Rolling Stones,09.09.89,1,5 WKS,10.21.89,The-Rolling-Stones
Saint Of Me,The Rolling Stones,11.22.97,13,12 Wks,02.28.98,The-Rolling-Stones
Love Is Strong,The Rolling Stones,07.09.94,2,12 Wks,07.23.94,The-Rolling-Stones
Hang Fire,The Rolling Stones,09.26.81,2,12 Wks,10.10.81,The-Rolling-Stones
Angry,Rolling Stones,10.07.23,29,12 Wks,12.02.23,The-Rolling-Stones
Anybody Seen My Baby?,The Rolling Stones,09.20.97,3,12 Wks,09.27.97,The-Rolling-Stones
One Hit To The Body,The Rolling Stones,04.05.86,3,12 Wks,04.26.86,The-Rolling-Stones
Don't Stop,The Rolling Stones,09.14.02,21,12 Wks,10.05.02,The-Rolling-Stones
Little T & A,The Rolling Stones,10.10.81,5,12 Wks,11.21.81,The-Rolling-Stones
Rough Justice,The Rolling Stones,08.13.05,25,12 Wks,09.03.05,The-Rolling-Stones
Terrifying,The Rolling Stones,09.23.89,8,12 Wks,12.30.89,The-Rolling-Stones
Out Of Tears,The Rolling Stones,10.29.94,14,12 Wks,11.19.94,The-Rolling-Stones
UNDERCOVER OF THE NIGHT,The Rolling Stones,11.12.83,2,12 Wks,11.26.83,The-Rolling-Stones
Waiting On A Friend,The Rolling Stones,11.28.81,8,12 Wks,01.30.82,The-Rolling-Stones
Almost Hear You Sigh,The Rolling Stones,01.20.90,1,1 WKS,03.10.90,The-Rolling-Stones
Winning Ugly,The Rolling Stones,04.12.86,10,12 Wks,04.26.86,The-Rolling-Stones
Flip The Switch,The Rolling Stones,11.22.97,14,12 Wks,12.27.97,The-Rolling-Stones
GOING TO A GO GO,The Rolling Stones,06.12.82,5,12 Wks,07.03.82,The-Rolling-Stones
TOO TOUGH,The Rolling Stones,11.19.83,14,12 Wks,11.26.83,The-Rolling-Stones
TOO MUCH BLOOD,The Rolling Stones,12.17.83,38,12 Wks,12.17.83,The-Rolling-Stones
Highwire,The Rolling Stones,03.09.91,1,3 WKS,03.16.91,The-Rolling-Stones
Sad Sad Sad,The Rolling Stones,09.09.89,14,12 Wks,09.30.89,The-Rolling-Stones
Harlem Shuffle,The Rolling Stones,03.15.86,2,12 Wks,03.22.86,The-Rolling-Stones
Mixed Emotions,The Rolling Stones,09.02.89,1,5 WKS,09.02.89,The-Rolling-Stones
I Go Wild,The Rolling Stones,04.01.95,20,12 Wks,05.06.95,The-Rolling-Stones
Like A Rolling Stone,The Rolling Stones,11.18.95,16,12 Wks,11.25.95,The-Rolling-Stones
Sparks Will Fly,The Rolling Stones,01.07.95,30,12 Wks,01.28.95,The-Rolling-Stones
Doom And Gloom,The Rolling Stones,12.01.12,35,12 Wks,12.01.12,The-Rolling-Stones
Gimme Shelter (Live),The Rolling Stones,12.05.98,29,12 Wks,12.05.98,The-Rolling-Stones
"Oh No, Not You Again",The Rolling Stones,11.19.05,34,12 Wks,12.24.05,The-Rolling-Stones
If I Was A Dancer (Dance Pt. 2),The Rolling Stones,04.18.81,26,12 Wks,04.25.81,The-Rolling-Stones
Sex Drive,The Rolling Stones,05.25.91,40,12 Wks,06.08.91,The-Rolling-Stones
Think I'm Going Mad,The Rolling Stones,03.03.84,50,12 Wks,03.10.84,The-Rolling-Stones
Gimme Shelter,The Rolling Stones,11.28.98,35,12 Wks,11.28.98,The-Rolling-Stones
Scar Tissue,Red Hot Chili Peppers,06.05.99,1,10 WKS,07.17.99,Red-Hot-Chili-Peppers
Otherside,Red Hot Chili Peppers,01.29.00,2,12 Wks,04.15.00,Red-Hot-Chili-Peppers
Californication,Red Hot Chili Peppers,07.01.00,1,2 WKS,08.26.00,Red-Hot-Chili-Peppers
My Friends,Red Hot Chili Peppers,10.07.95,1,4 WKS,12.09.95,Red-Hot-Chili-Peppers
By The Way,Red Hot Chili Peppers,06.15.02,1,7 WKS,08.10.02,Red-Hot-Chili-Peppers
Can't Stop,Red Hot Chili Peppers,01.04.03,15,12 Wks,03.01.03,Red-Hot-Chili-Peppers
Dani California,Red Hot Chili Peppers,04.22.06,1,12 WKS,05.06.06,Red-Hot-Chili-Peppers
Snow ((Hey Oh)),Red Hot Chili Peppers,11.18.06,3,12 Wks,02.03.07,Red-Hot-Chili-Peppers
Dark Necessities,Red Hot Chili Peppers,05.21.16,1,3 WKS,07.23.16,Red-Hot-Chili-Peppers
Black Summer,Red Hot Chili Peppers,02.12.22,2,12 Wks,03.19.22,Red-Hot-Chili-Peppers
Monarchy Of Roses,Red Hot Chili Peppers,11.12.11,16,12 Wks,02.04.12,Red-Hot-Chili-Peppers
Tippa My Tongue,Red Hot Chili Peppers,08.27.22,2,12 Wks,12.03.22,Red-Hot-Chili-Peppers
Go Robot,Red Hot Chili Peppers,10.22.16,20,12 Wks,02.11.17,Red-Hot-Chili-Peppers
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,07.30.11,2,12 Wks,08.20.11,Red-Hot-Chili-Peppers
Tell Me Baby,Red Hot Chili Peppers,08.12.06,8,12 Wks,11.04.06,Red-Hot-Chili-Peppers
Under The Bridge,Red Hot Chili Peppers,04.04.92,2,12 Wks,05.16.92,Red-Hot-Chili-Peppers
Soul To Squeeze,Red Hot Chili Peppers,08.21.93,7,12 Wks,10.02.93,Red-Hot-Chili-Peppers
Look Around,Red Hot Chili Peppers,03.10.12,12,12 Wks,05.12.12,Red-Hot-Chili-Peppers
Aeroplane,Red Hot Chili Peppers,02.03.96,12,12 Wks,03.30.96,Red-Hot-Chili-Peppers
Around The World,Red Hot Chili Peppers,10.23.99,16,12 Wks,11.27.99,Red-Hot-Chili-Peppers
Fortune Faded,Red Hot Chili Peppers,11.22.03,22,12 Wks,12.06.03,Red-Hot-Chili-Peppers
Breaking The Girl,Red Hot Chili Peppers,08.08.92,15,12 Wks,09.26.92,Red-Hot-Chili-Peppers
Warped,Red Hot Chili Peppers,09.02.95,13,12 Wks,09.30.95,Red-Hot-Chili-Peppers
Hump De Bump,Red Hot Chili Peppers,04.14.07,27,12 Wks,05.05.07,Red-Hot-Chili-Peppers
The Zephyr Song,Red Hot Chili Peppers,10.12.02,14,12 Wks,11.23.02,Red-Hot-Chili-Peppers
Higher Ground,Red Hot Chili Peppers,12.02.89,26,12 Wks,12.30.89,Red-Hot-Chili-Peppers
These Are The Ways,Red Hot Chili Peppers,06.18.22,27,12 Wks,07.09.22,Red-Hot-Chili-Peppers
Bad Love,Eric Clapton,11.25.89,1,3 WKS,01.27.90,Eric-Clapton
One Of Those Days,Ozzy Osbourne Featuring Eric Clapton,09.24.22,3,12 Wks,12.17.22,Eric-Clapton
Help Me Up,Eric Clapton,02.08.92,6,12 Wks,04.11.92,Eric-Clapton
Tears In Heaven,Eric Clapton,01.11.92,9,12 Wks,02.08.92,Eric-Clapton
Layla,Eric Clapton,09.05.92,9,12 Wks,10.17.92,Eric-Clapton
No Alibis,Eric Clapton,02.24.90,4,12 Wks,03.24.90,Eric-Clapton
Before You Accuse Me,Eric Clapton,05.05.90,9,12 Wks,06.23.90,Eric-Clapton
It's In The Way You Use It,Eric Clapton,11.08.86,1,1 WKS,01.10.87,Eric-Clapton
